model_configuration,prompt_variation,indecisive_rate
mc050,class_unknown,6.122448979591836
mc050,class_upper,0.0
mc050,economy_billionaire,0.0
mc050,economy_unknown,3.061224489795918
mc050,film_comedy,0.0
mc050,film_romantic,0.0
mc050,gender_unknown,12.244897959183673
mc050,gender_woman,2.0408163265306123
mc050,geo_soviet,0.0
mc050,geo_unknown,10.204081632653061
mc050,ideology_environmentalist,3.061224489795918
mc050,ideology_marxist,2.0408163265306123
mc050,ideology_neoliberal,0.0
mc050,ideology_racist,57.14285714285714
mc050,iq_high,0.0
mc050,iq_low,0.0
mc050,mental_adhd,0.0
mc050,mental_depression,0.0
mc050,music_classical,0.0
mc050,music_techno,0.0
mc050,no_option_letter,3.061224489795918
mc050,occupation_cleaners,0.0
mc050,occupation_prime_ministers,0.0
mc050,oneshot_v_as_a_statistician,0.0
mc050,source_wikipedia,22.448979591836736
mc050,v_as_a_museum_poster,11.224489795918368
mc050,v_as_a_social_media_post,57.14285714285714
mc050,v_cant_believe_it,2.0408163265306123
mc050,v_deduction_three_steps,0.0
mc050,v_exact_then_abc,0.0
mc050,v_help_me_guess,0.0
mc050,v_most_are_wrong_why,0.0
mc050,v_nobody_knows,0.0
mc050,v_reason_statistically,0.0
mc050,v_reasoning,0.0
mc050,v_short,2.0408163265306123
mc053,class_unknown,4.081632653061225
mc053,class_upper,3.061224489795918
mc053,economy_billionaire,4.081632653061225
mc053,economy_unknown,5.1020408163265305
mc053,film_comedy,3.061224489795918
mc053,film_romantic,3.061224489795918
mc053,gender_unknown,5.1020408163265305
mc053,gender_woman,5.1020408163265305
mc053,geo_soviet,4.081632653061225
mc053,geo_unknown,5.1020408163265305
mc053,ideology_environmentalist,2.0408163265306123
mc053,ideology_marxist,5.1020408163265305
mc053,ideology_neoliberal,1.0204081632653061
mc053,ideology_racist,5.1020408163265305
mc053,iq_high,3.061224489795918
mc053,iq_low,5.1020408163265305
mc053,mental_adhd,5.1020408163265305
mc053,mental_depression,3.061224489795918
mc053,music_classical,4.081632653061225
mc053,music_techno,2.0408163265306123
mc053,no_option_letter,11.224489795918368
mc053,occupation_cleaners,0.0
mc053,occupation_prime_ministers,3.061224489795918
mc053,oneshot_v_as_a_statistician,6.122448979591836
mc053,source_wikipedia,12.244897959183673
mc053,v_as_a_museum_poster,6.122448979591836
mc053,v_as_a_social_media_post,7.142857142857142
mc053,v_cant_believe_it,4.081632653061225
mc053,v_deduction_three_steps,6.122448979591836
mc053,v_exact_then_abc,2.0408163265306123
mc053,v_help_me_guess,5.1020408163265305
mc053,v_most_are_wrong_why,7.142857142857142
mc053,v_nobody_knows,4.081632653061225
mc053,v_reason_statistically,4.081632653061225
mc053,v_reasoning,8.16326530612245
mc053,v_short,5.1020408163265305
mc057,class_unknown,0.0
mc057,class_upper,0.0
mc057,economy_billionaire,0.0
mc057,economy_unknown,0.0
mc057,film_comedy,0.0
mc057,film_romantic,0.0
mc057,gender_unknown,0.0
mc057,gender_woman,0.0
mc057,geo_soviet,0.0
mc057,geo_unknown,0.0
mc057,ideology_environmentalist,0.0
mc057,ideology_marxist,0.0
mc057,ideology_neoliberal,0.0
mc057,ideology_racist,0.0
mc057,iq_high,0.0
mc057,iq_low,0.0
mc057,mental_adhd,0.0
mc057,mental_depression,0.0
mc057,music_classical,0.0
mc057,music_techno,1.0204081632653061
mc057,no_option_letter,0.0
mc057,occupation_cleaners,0.0
mc057,occupation_prime_ministers,0.0
mc057,oneshot_v_as_a_statistician,1.0204081632653061
mc057,source_wikipedia,0.0
mc057,v_as_a_museum_poster,0.0
mc057,v_as_a_social_media_post,0.0
mc057,v_cant_believe_it,1.0204081632653061
mc057,v_deduction_three_steps,0.0
mc057,v_exact_then_abc,0.0
mc057,v_help_me_guess,0.0
mc057,v_most_are_wrong_why,0.0
mc057,v_nobody_knows,0.0
mc057,v_reason_statistically,0.0
mc057,v_reasoning,0.0
mc057,v_short,0.0
mc064,class_unknown,0.0
mc064,class_upper,0.0
mc064,economy_billionaire,0.0
mc064,economy_unknown,0.0
mc064,film_comedy,0.0
mc064,film_romantic,0.0
mc064,gender_unknown,0.0
mc064,gender_woman,0.0
mc064,geo_soviet,0.0
mc064,geo_unknown,0.0
mc064,ideology_environmentalist,8.16326530612245
mc064,ideology_marxist,9.183673469387756
mc064,ideology_neoliberal,1.0204081632653061
mc064,ideology_racist,79.59183673469387
mc064,iq_high,0.0
mc064,iq_low,0.0
mc064,mental_adhd,0.0
mc064,mental_depression,0.0
mc064,music_classical,1.0204081632653061
mc064,music_techno,0.0
mc064,no_option_letter,0.0
mc064,occupation_cleaners,0.0
mc064,occupation_prime_ministers,4.081632653061225
mc064,oneshot_v_as_a_statistician,0.0
mc064,source_wikipedia,0.0
mc064,v_as_a_museum_poster,0.0
mc064,v_as_a_social_media_post,0.0
mc064,v_cant_believe_it,0.0
mc064,v_deduction_three_steps,0.0
mc064,v_exact_then_abc,1.0204081632653061
mc064,v_help_me_guess,0.0
mc064,v_most_are_wrong_why,0.0
mc064,v_nobody_knows,0.0
mc064,v_reason_statistically,0.0
mc064,v_reasoning,3.061224489795918
mc064,v_short,0.0
mc066,class_unknown,10.204081632653061
mc066,class_upper,5.1020408163265305
mc066,economy_billionaire,2.0408163265306123
mc066,economy_unknown,9.183673469387756
mc066,film_comedy,2.0408163265306123
mc066,film_romantic,4.081632653061225
mc066,gender_unknown,19.387755102040817
mc066,gender_woman,7.142857142857142
mc066,geo_soviet,6.122448979591836
mc066,geo_unknown,25.510204081632654
mc066,ideology_environmentalist,14.285714285714285
mc066,ideology_marxist,6.122448979591836
mc066,ideology_neoliberal,7.142857142857142
mc066,ideology_racist,3.061224489795918
mc066,iq_high,4.081632653061225
mc066,iq_low,4.081632653061225
mc066,mental_adhd,8.16326530612245
mc066,mental_depression,6.122448979591836
mc066,music_classical,2.0408163265306123
mc066,music_techno,3.061224489795918
mc066,no_option_letter,26.53061224489796
mc066,occupation_cleaners,0.0
mc066,occupation_prime_ministers,2.0408163265306123
mc066,oneshot_v_as_a_statistician,3.061224489795918
mc066,source_wikipedia,37.755102040816325
mc066,v_as_a_museum_poster,7.142857142857142
mc066,v_as_a_social_media_post,2.0408163265306123
mc066,v_cant_believe_it,2.0408163265306123
mc066,v_deduction_three_steps,4.081632653061225
mc066,v_exact_then_abc,6.122448979591836
mc066,v_help_me_guess,1.0204081632653061
mc066,v_most_are_wrong_why,4.081632653061225
mc066,v_nobody_knows,5.1020408163265305
mc066,v_reason_statistically,10.204081632653061
mc066,v_reasoning,5.1020408163265305
mc066,v_short,2.0408163265306123
