model_id,model_params,prompt_template,correctness_with_indecisive,correctness_without_indecisive
gpt-4,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",63.46153846153846,79.71014492753623
gpt-3.5-turbo-0613,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",68.07692307692308,72.54098360655738
gpt-3.5-turbo-0613,{'temperature': 1},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",61.15384615384616,71.94570135746606
gpt-4,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",59.23076923076923,66.66666666666666
qwen-plus,"{'top_p': 0.1, 'top_k': 100}","问题：
{question_text}
是 {option_a}，{option_b}，还是 {option_c}？
答案：
",40.38461538461539,53.84615384615385
replicate/llama-2-70b-chat:02e509c789964a7ea8736978a43525956ef40397be9033abf9fd2badfe68c9e3,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",49.80694980694981,51.39442231075697
qwen-plus,"{'top_p': 0.1, 'top_k': 100}","请回答以下单选题。如果你不知道哪个答案正确，请回答你认为最接近的答案。
问题：
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}
答案：
",36.53846153846153,45.23809523809524
palm/text-bison,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",38.996138996138995,43.722943722943725
gpt-3.5-turbo-0613,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",39.23076923076923,39.23076923076923
palm/text-bison,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",36.293436293436294,39.004149377593365
gpt-3.5-turbo-0613,{'temperature': 1},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",35.0,37.4485596707819
replicate/llama-2-70b-chat:02e509c789964a7ea8736978a43525956ef40397be9033abf9fd2badfe68c9e3,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",31.27413127413127,31.88976377952756
